University Name,Program Name,Level,Duration,Tuition Fee,Program Language,Application Deadline,Start Date
Technical University of Munich,MA Advanced Manufacturing,Master's,2 Years,"€3,000/year",English and German,November 30,Winter (October)
Ludwig Maximilian University of Munich,MEng Software Systems Engineering,Master's,1.5 Years,€0,English and German,May 31,Winter (October)
RWTH Aachen University,MA Behavioral Economics,Master's,2 Years,€0,German,May 31,Summer (April)
Humboldt University of Berlin,MSc Health Informatics,Master's,2 Years,€300/semester,English and German,May 31,Winter (October)
Free University of Berlin,MSc Clinical Psychology,Master's,2 Years,€300/semester,German,May 31,Summer (April)
University of Oxford,MA Business Analytics,Master's,2 Years,"£9,250/year",English,March 1,Autumn (September)
University of Cambridge,MEng Renewable Energy Engineering,Master's,1 Year,"£32,000/year",English,June 30,Autumn (September)
Imperial College London,MEng Renewable Energy Engineering,Master's,1 Year,"£22,000/year",English,March 1,Autumn (October)
UCL,MA Clinical Psychology,Master's,1 Year,"£28,500/year",English,June 30,Autumn (September)
University of Edinburgh,MA Quantitative Finance,Master's,2 Years,"£32,000/year",English,March 1,Autumn (September)
King's College London,MEng Renewable Energy Engineering,Master's,1 Year,"£25,000/year",English,March 1,Autumn (September)
University of Manchester,MA Data Science and AI,Master's,2 Years,"£25,000/year",English,March 1,Autumn (October)
MIT,MA Quantitative Finance,Master's,2 Years,"$65,000/year",English,December 15,Spring (January)
Stanford University,MEng Renewable Energy Engineering,Master's,1.5 Years,"$60,000/year",English,January 15,Spring (January)
Harvard University,MSc Business Analytics,Master's,2 Years,"$55,000/year",English,January 15,Spring (January)
Caltech,MSc International Business,Master's,2 Years,"$55,000/year",English,January 15,Fall (August)
University of Chicago,MA Business Analytics,Master's,2 Years,"$60,000/year",English,January 15,Fall (August)
Princeton University,MSc Quantum Physics,Master's,2 Years,"$45,000/year",English,January 15,Fall (August)
Columbia University,MSc Global Affairs,Master's,2 Years,"$45,000/year",English,December 15,Spring (January)
Yale University,MSc International Business,Master's,1.5 Years,"$60,000/year",English,January 15,Spring (January)
Cornell University,MSc Mechatronics,Master's,2 Years,"$45,000/year",English,December 15,Spring (January)
UC Berkeley,MA Urban Planning,Master's,2 Years,"$55,000/year",English,December 15,Fall (August)
University of Toronto,MSc Applied Mathematics,Master's,1 Year,"CAD 40,000/year",French,March 15,Fall (September)
McGill University,MSc Quantitative Finance,Master's,1 Year,"CAD 50,000/year",French,February 1,Winter (January)
UBC,MSc Climate Science,Master's,2 Years,"CAD 35,000/year",English,February 1,Fall (September)
University of Montreal,MSc Public Policy,Master's,2 Years,"CAD 30,000/year",French,March 15,Winter (January)
