"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Others;No;General;September;NJFU;Nanjing Forestry University;Yes;Forestry;Yuki;;;;;Nanjing, Jiangsu;52-US NEWS RANKING;N/A;31st May;12/20  No failing grades;16500;2-person room, 6-person a suit, 360 yuan/month;Not Allowed;Cover tuition fee and Medical insurance (Conditional);No;Yes;No;18~28;Duolingo, TOEFL, IELTS;B2615-NJFU-Nanjing Forestry University.pdf;NJFU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥ 95";;;;;;;;;;;;;;;
Others;No;General;September;NJFU;Nanjing Forestry University;Yes;Wood Science and Engineering;Yuki;;;;;Nanjing, Jiangsu;52-US NEWS RANKING;N/A;31st May;12/20  No failing grades;16500;2-person room, 6-person a suit, 360 yuan/month;Not Allowed;Cover tuition fee and Medical insurance (Conditional);No;Yes;No;18~28;Duolingo, TOEFL, IELTS;B2615-NJFU-Nanjing Forestry University.pdf;NJFU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥ 95";;;;;;;;;;;;;;;
Business;No;General;September;NUFE;Nanjing University of Finance and Economics;Yes;Business Administration;Yuki;;;;;Nanjing, Jiangsu;127-SHANGHAI RANKING;N/A;15th June;"4/5, 3.5/4, 80/100
(Having expertise in foreign languages, sports, or arts, one's grades may also be appropriately reduced)";17000;"4000 CNY/ Year:
International student dorms of NUFE are suites composed of 2-3 twin rooms, which means 4-6 students live in a suite (most are 2 twin-room suites). Single rooms are not available.";Allowed from Second Year;"First year: no scholarships
Other years: Type A: Free tuition fee
Type B: Half tuition fee";Yes;not sure;No;18~25;Duolingo, TOEFL, IELTS;B2616-NUFE-Nanjing University of Finance and Economics.pdf;NUFE;"TOEFL≥ 80
IELTS≥ 6.0
Duolingo ≥105";No-War counties;;;;;;;;;;;;;;
Chemical;No;General;September;TJU;Tianjin University;Yes;Chemical Engineering;Qumin;;;;;Tianjin;20-SHANGHAI RANKING;"985 Project
211
Double First-Class";15th April;70%;20000;The rates for different types of dormitories on two campuses range from 15 to 60 RMB/bed/day. ;Allowed;"Type A: 
Cover tuition and on campus accommodation fee,
Living allowance: 2,500RMB/month,  (10 months in total)
Type B:
Cover tuition fee
Living allowance:1400RMB /month (10 months in total)
Type C: Cover tuition fee
Type D: Cover 10000RMB tuition fee
Type E: Cover 6000RMB tuition fee";No;Yes;"Yes
The Guardian must be a permanent resident of Tianjin.";25;EFFST, Duolingo, TOEFL, IELTS;TJU.pdf;TJU;;;;;;;;;;;;;;;;
Others;No;General;September;TJU;Tianjin University;Yes;Environmental Engineering;Qumin;;;;;Tianjin;20-SHANGHAI RANKING;"985 Project
211
Double First-Class";15th April;70%;20000;The rates for different types of dormitories on two campuses range from 15 to 60 RMB/bed/day. ;Allowed;"Type A: 
Cover tuition and on campus accommodation fee,
Living allowance: 2,500RMB/month,  (10 months in total)
Type B:
Cover tuition fee
Living allowance:1400RMB /month (10 months in total)
Type C: Cover tuition fee
Type D: Cover 10000RMB tuition fee
Type E: Cover 6000RMB tuition fee";No;Yes;"Yes
The Guardian must be a permanent resident of Tianjin.";25;EFFST, Duolingo, TOEFL, IELTS;TJU.pdf;TJU;;;;;;;;;;;;;;;;
Pharmacy;No;General;September;TJU;Tianjin University;Yes;Pharmaceutical Science;Qumin;;;;;Tianjin;20-SHANGHAI RANKING;"985 Project
211
Double First-Class";15th April;70%;20000;The rates for different types of dormitories on two campuses range from 15 to 60 RMB/bed/day. ;Allowed;"Type A: 
Cover tuition and on campus accommodation fee,
Living allowance: 2,500RMB/month,  (10 months in total)
Type B:
Cover tuition fee
Living allowance:1400RMB /month (10 months in total)
Type C: Cover tuition fee
Type D: Cover 10000RMB tuition fee
Type E: Cover 6000RMB tuition fee";No;Yes;"Yes
The Guardian must be a permanent resident of Tianjin.";25;EFFST, Duolingo, TOEFL, IELTS;TJU.pdf;TJU;;;;;;;;;;;;;;;;
MBBS;No;General;September;ZJU;Zhejiang University;Yes;MBBS_6 years_;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A: 18
Type B: 16";42800;"Yiwu Canpus
8000 RMB/per year/per room";Allowed;"1. RMB 20,000 -- 5% of the total number of new MBBS students

2. Top 20% of the class (second to sixth year) will be awarded an Outstanding Academic Performance Scholarship by ZJU-ISM.

3. Excellent students (second to sixth year) will be awarded a Zhejiang Provincial Government Scholarship (near 15% of batch 2023 students were 
awarded this scholarship in 2024 based on their academic performance).";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;"IELTS: 6.0 overall or above (academic module) with a minimum of 5.0 in each component. 
TOEFL-iBT:75 or above with a minimum of 15 in Reading, Listening, Speaking and Writing. Cambridge Certificate in Advanced English (CAE): 170or above Duolingo: 100 or above

Submission of IB, A-level or other international standardized test score reports can exempt the applicantfrom providing English proficiency certificate .

Other requirements : Applicants must have scored 70% or above in Math, Physics, Chemistry, and Biology (Zoology & Botany)during high school.";;;;;;;;;;;;;;;
Bio Med ;No;General;September;ZJU;Zhejiang University;Yes;Integrative Biomedical Sciences;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A: 18
Type B: 16";200000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;"There are three rates for tuition fee waivers:

A - 200,000 RMB waiver/year for 4 years (full fee waiver of all tuition fees)

B - 140,000 RMB waiver/year for 4 years (student contribution 60,000 RMB/year)

C - 80,000 RMB waiver/year for 4 years (student contribution 120,000 RMB/year)

D - 40,000 RMB waiver/year for 4 years (student contribution 160,000 RMB/year)

Academic Scholarship and Overseas Scholarship will be awarded during University study.

Duration: 4 years (The scholarship will be reviewed and given on the condition that the student meets the requirements for satisfactory progress toward a degree and follows the rules of the ZJU-UoE Institute.)";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;"IELTS: 6.5 or above;TOEFL: 80 or above;Duolingo: 120 or above 

Other requirements : Solid mathematics knowledge is recommended";;;;;;;;;;;;;;;
Bio Med ;No;General;September;ZJU;Zhejiang University;Yes;Biomedical Informatics;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st May;"Type A: 18
Type B: 16";200000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;"There are three rates for tuition fee waivers:

A - 200,000 RMB waiver/year for 4 years (full fee waiver of all tuition fees)

B - 140,000 RMB waiver/year for 4 years (student contribution 60,000 RMB/year)

C - 80,000 RMB waiver/year for 4 years (student contribution 120,000 RMB/year)

D - 40,000 RMB waiver/year for 4 years (student contribution 160,000 RMB/year)

Academic Scholarship and Overseas Scholarship will be awarded during University study.

Duration: 4 years (The scholarship will be reviewed and given on the condition that the student meets the requirements for satisfactory progress toward a degree and follows the rules of the ZJU-UoE Institute.)";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;"IELTS Academic: total 6.5 with at least 6.0 in each component. We do not accept IELTS One Skill Retake to meet our English language requirements.  
TOEFL-iBT (including Home Edition): total 92 with at least 23 in each component. We do not accept TOEFL MyBest Score to meet our English language requirements.
C1 Advanced (CAE) / C2 Proficiency (CPE): total 176 with at least 169 in each component.
Trinity ISE: ISE II with distinctions in all four components.
Oxford ELLT: total 7 with at least 6 in each component.
Oxford Test of English Advanced: total 145 with at least 135 in each component 
Other requirements : Biology and chemistry must have been taken as compulsory subjects in high school.";;;;;;;;;;;;;;;
Electrical;No;General;September;ZJU;Zhejiang University;Yes;Electrical Engineering and Automation;Qumin;;;;;Hangzhou, Zhejiang;3-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";28th Feb;"Type A: 18
Type B: 16";80000;"Haining Campus
Accommodation costs: 8,000 RMB—10,000RMB / academic year
(Single and double rooms are the same, Rates vary from year to year and are randomly assigned according to room size and orientation. The single room use a public bathroom and the double room has an en suite bathroom)";Allowed;"Partial Tuition Waiver: RMB 32,000   yuan/ Academic Year _Each scholarship will be reviewed   annually and renewed up to four academic years on the conditions

that the student meets requirements   for satisfactory progress toward the degrees and follows the rules of   Zhejiang University._";No;Yes;No;25;Duolingo, TOEFL, IELTS;ZJU.docx;ZJU;Good mathematics and physics knowledge is required;;;;;;;;;;;;;;;
