"Program Name","Level","Duration","Tuition Fee","Entry Requirements","Special Exams","Location","Start Date","Application Deadline","Application Fee","Servıce Fee","Program Language","University Name","CSCA Exam Required"
"Chinese Language Program","Non-degree","1 Year","RMB 12,500 In Total","Non-Chinese citizens and be in good health.","N/A","N/A","Sep 3, 2026","Aug 15, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"MBBS in English","Bachelor","6 Years","RMB 35,000 per year","1）Age:18-30; International Students; Graduated from High School; 2）Score of each of the four courses（English, Physics, Chemistry Biology） reaches 70 points above； 3）Health; Abide by Chinese Laws School’s Regulations","N/A","Nanning, Guangxi Zhuang Autonomous Region, China","Sep 3, 2021","Aug 9, 2021","USD 150","USD 100","English","Guangxi Medical University","N/A"
"Preventive Medicine","Bachelor","5 Years","RMB 28,000 per year","Applicants shall be age 18-30 with good health condition and graduated from High School. English, Physics, Chemistry Biology reaches 70 points above. HSK level 4 or above.","CSCA Test Required","N/A","Sep 3, 2026","Aug 15, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","Yes"
"Stomatology","Bachelor","5 Years","RMB 28,000 per year","Applicants shall be age 18-30 with good health condition and graduated from High School. English, Physics, Chemistry Biology reaches 70 points above. HSK level 4 or above.","CSCA Test Required","N/A","Sep 3, 2026","Aug 15, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","Yes"
"Clinical Medicine","Bachelor","5 Years","RMB 28,000 per year","Applicants shall be age 18-30 with good health condition and graduated from High School. English, Physics, Chemistry Biology reaches 70 points above. HSK level 4 or above.","CSCA Test Required","N/A","Sep 3, 2026","Aug 15, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","Yes"
"Physiology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Pharmacy","Bachelor","4 Years","RMB 28,000 per year","1）Age:18-30; International Students; Graduated from High School; 2）Score of each of the four courses（English, Physics, Chemistry Biology） reaches 70 points above； 3）For Undergraduate courses in Chinese, the students are required to pass Chinese language tests given by Guangxi Medical University 4）Health; Abide by Chinese Laws School’s Regulations","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"Nursing","Bachelor","4 Years","RMB 28,000 per year","Applicants shall be age 18-30 with good health condition and graduated from High School. English, Physics, Chemistry Biology reaches 70 points above. HSK level 4 or above.","CSCA Test Required","N/A","Sep 3, 2026","Aug 15, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","Yes"
"Microbiology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Human Anatomy and Embryology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Biochemistry & Molecular Biology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"PATHOLOGY PATHOPHYSIOLOGY","Master","3 Years","RMB 35,000 per year","Applicants for master’s degree studies must have bachelor’s degree be under the age of 35.","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"Pharmacology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"Pathogen Biology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Pediatrics","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Internal Medicine","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Neurology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Dermatology & Venereology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Imaging and Nuclear Medicine","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Social Medicine & Health Service Management","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Ophthalmology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"Obstetrics & Gynecology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Surgery","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Emergency Medicine","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"Otorhinolaryngology","Master","3 Years","RMB 35,000 per year","Applicants for master’s degree studies must have bachelor’s degree be under the age of 35.","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"Anesthesiology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"Oncology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"Epidemiology & Health Statistics","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Clinical Stomatology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
"HUMAM ANATOMY EMBRYOLOGY","Doctoral","3 Years","RMB 40,000 per year","Applicants for doctoral degree studies must have master’s degree be under the age of 40.","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"OCCUPATIONAL ENVIRONMENTAL HEALTH SCIENCE","Master","3 Years","RMB 35,000 per year","Applicants for master’s degree studies must have bachelor’s degree be under the age of 35.","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"EPIDEMIOLOGY HEALTH STATISTICS","Doctoral","3 Years","RMB 40,000 per year","Applicants for doctoral degree studies must have master’s degree be under the age of 40.","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"Information Management and Information System","Bachelor","4 Years","RMB 28,000 per year","Applicants shall be age 18-30 with good health condition and graduated from High School. English, Physics, Chemistry Biology reaches 70 points above. HSK level 4 or above.","CSCA Test Required","N/A","Sep 3, 2026","Aug 15, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","Yes"
"Immunology","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2022","Aug 30, 2022","USD 164","USD 54","Chinese","Guangxi Medical University","N/A"
"Biomedical Engineering","Bachelor","4 Years","RMB 28,000 per year","Applicants shall be age 18-30 with good health condition and graduated from High School. English, Physics, Chemistry Biology reaches 70 points above. HSK level 4 or above.","CSCA Test Required","N/A","Sep 3, 2026","Aug 15, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","Yes"
"Social Work","Bachelor","4 Years","RMB 28,000 per year","1）Age:18-30; International Students; Graduated from High School; 2）Score of each of the four courses（English, Physics, Chemistry Biology） reaches 70 points above； 3）For Undergraduate courses in Chinese, the students are required to pass Chinese language tests given by Guangxi Medical University 4）Health; Abide by Chinese Laws School’s Regulations","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"Public Affairs Management","Bachelor","4 Years","RMB 28,000 per year","1）Age:18-30; International Students; Graduated from High School; 2）Score of each of the four courses（English, Physics, Chemistry Biology） reaches 70 points above； 3）For Undergraduate courses in Chinese, the students are required to pass Chinese language tests given by Guangxi Medical University 4）Health; Abide by Chinese Laws School’s Regulations","N/A","N/A","Sep 3, 2021","Jun 30, 2021","USD 150","USD 100","Chinese","Guangxi Medical University","N/A"
"Psychiatry","Master","3 Years","RMB 35,000 per year","Applicants for master's degree studies must have bachelor's degree be under the age of 35. HSK level 5 or above.","N/A","N/A","Sep 3, 2026","Aug 1, 2026","USD 113","USD 200","Chinese","Guangxi Medical University","N/A"
