University Name,Program Name,Level,Duration,Tuition Fee,Program Language,Application Deadline,Start Date
Technical University of Munich,BSc Psychology,Bachelor's,3 Years,€300/semester,German,January 15,Winter (October)
Ludwig Maximilian University of Munich,BSc Environmental Science,Bachelor's,3.5 Years,"€3,000/year",German,January 15,Summer (April)
RWTH Aachen University,BSc Biomedical Science,Bachelor's,4 Years,€300/semester,English and German,July 15,Winter (October)
Humboldt University of Berlin,BSc English Literature,Bachelor's,3.5 Years,€152/semester,English,January 15,Summer (April)
Free University of Berlin,BA Data Science,Bachelor's,3 Years,€152/semester,English,July 15,Winter (October)
University of Oxford,BA Political Science,Bachelor's,3 Years,"£25,000/year",English,October 15,Autumn (September)
University of Cambridge,BSc Business Administration,Bachelor's,3 Years,"£28,500/year",English,January 31,Autumn (September)
Imperial College London,BA Biology,Bachelor's,3 Years,"£32,000/year",English,January 31,Autumn (October)
UCL,BA Political Science,Bachelor's,3 Years,"£22,000/year",English,October 15,Autumn (September)
University of Edinburgh,BEng Software Engineering,Bachelor's,4 Years,"£32,000/year",English,October 15,Autumn (September)
King's College London,BSc History,Bachelor's,3 Years,"£22,000/year",English,January 31,Autumn (September)
University of Manchester,BA Biology,Bachelor's,4 Years,"£25,000/year",English,January 31,Autumn (September)
MIT,BSc Chemistry,Bachelor's,4 Years,"$65,000/year",English,November 1,Spring (January)
Stanford University,BEng Electrical Engineering,Bachelor's,4 Years,"$45,000/year",English,January 1,Fall (August)
Harvard University,BSc Graphic Design,Bachelor's,4 Years,"$60,000/year",English,January 1,Spring (January)
Caltech,BSc Chemistry,Bachelor's,4 Years,"$65,000/year",English,February 15,Spring (January)
University of Chicago,BSc Mathematics,Bachelor's,4 Years,"$50,000/year",English,November 1,Spring (January)
Princeton University,BSc Business Administration,Bachelor's,4 Years,"$65,000/year",English,November 1,Spring (January)
Columbia University,BEng Software Engineering,Bachelor's,4 Years,"$45,000/year",English,January 1,Spring (January)
Yale University,BSc Environmental Science,Bachelor's,4 Years,"$45,000/year",English,January 1,Fall (August)
Cornell University,BSc Fine Arts,Bachelor's,4 Years,"$50,000/year",English,January 1,Spring (January)
UC Berkeley,BA Finance,Bachelor's,4 Years,"$65,000/year",English,January 1,Fall (August)
University of Toronto,BA Accounting,Bachelor's,4 Years,"CAD 40,000/year",French,February 1,Fall (September)
McGill University,BSc Psychology,Bachelor's,4 Years,"CAD 40,000/year",English,January 15,Winter (January)
UBC,BSc Nursing,Bachelor's,4 Years,"CAD 60,000/year",English,January 15,Fall (September)
University of Montreal,BA Data Science,Bachelor's,4 Years,"CAD 60,000/year",English,February 1,Winter (January)
University of Alberta,BSc Psychology,Bachelor's,4 Years,"CAD 60,000/year",French,February 1,Winter (January)
McMaster University,BSc Graphic Design,Bachelor's,4 Years,"CAD 35,000/year",English,February 1,Fall (September)
University of Melbourne,BA Physics,Bachelor's,3 Years,"AUD 40,000/year",English,June 30,Semester 2 (July)
University of Sydney,BEng Mechanical Engineering,Bachelor's,3 Years,"AUD 50,000/year",English,June 30,Semester 2 (July)
UNSW Sydney,BA Business Administration,Bachelor's,3 Years,"AUD 50,000/year",English,November 30,Semester 2 (July)
Australian National University,BSc Philosophy,Bachelor's,4 Years,"AUD 40,000/year",English,November 30,Semester 1 (February)
Monash University,BSc Fine Arts,Bachelor's,3 Years,"AUD 40,000/year",English,June 30,Semester 1 (February)
University of Queensland,BSc History,Bachelor's,3 Years,"AUD 50,000/year",English,November 30,Semester 2 (July)
Delft University of Technology,BSc Psychology,Bachelor's,3 Years,"€20,000/year",English,April 1,Spring (February)
University of Amsterdam,BA Fine Arts,Bachelor's,3 Years,"€10,000/year",Dutch,May 1,Autumn (September)
